date,titleSlug,questionFrontendId,title,difficulty,acRate
2020-04-01,single-number,136,Single Number,Easy,73.5
2020-04-02,happy-number,202,Happy Number,Easy,56.4
2020-04-03,maximum-subarray,53,Maximum Subarray,Medium,50.9
2020-04-04,move-zeroes,283,Move Zeroes,Easy,61.9
2020-04-05,best-time-to-buy-and-sell-stock-ii,122,Best Time to Buy and Sell Stock II,Medium,67.0
2020-04-06,group-anagrams,49,Group Anagrams,Medium,68.9
2020-04-07,counting-elements,1426,Counting Elements,Easy,60.2
2020-04-08,middle-of-the-linked-list,876,Middle of the Linked List,Easy,78.8
2020-04-09,backspace-string-compare,844,Backspace String Compare,Easy,49.2
2020-04-10,min-stack,155,Min Stack,Medium,54.6
2020-04-11,diameter-of-binary-tree,543,Diameter of Binary Tree,Easy,60.9
2020-04-12,last-stone-weight,1046,Last Stone Weight,Easy,65.5
2020-04-13,contiguous-array,525,Contiguous Array,Medium,49.0
2020-04-14,perform-string-shifts,1427,Perform String Shifts,Easy,54.7
2020-04-15,product-of-array-except-self,238,Product of Array Except Self,Medium,66.4
2020-04-16,valid-parenthesis-string,678,Valid Parenthesis String,Medium,38.1
2020-04-17,number-of-islands,200,Number of Islands,Medium,59.9
2020-04-18,minimum-path-sum,64,Minimum Path Sum,Medium,64.4
2020-04-19,search-in-rotated-sorted-array,33,Search in Rotated Sorted Array,Medium,41.1
2020-04-20,construct-binary-search-tree-from-preorder-traversal,1008,Construct Binary Search Tree from Preorder Traversal,Medium,82.2
2020-04-21,leftmost-column-with-at-least-a-one,1428,Leftmost Column with at Least a One,Medium,54.5
2020-04-22,subarray-sum-equals-k,560,Subarray Sum Equals K,Medium,43.8
2020-04-23,bitwise-and-of-numbers-range,201,Bitwise AND of Numbers Range,Medium,47.1
2020-04-24,lru-cache,146,LRU Cache,Medium,42.8
2020-04-25,jump-game,55,Jump Game,Medium,38.6
2020-04-26,longest-common-subsequence,1143,Longest Common Subsequence,Medium,57.8
2020-04-27,maximal-square,221,Maximal Square,Medium,46.9
2020-04-28,first-unique-number,1429,First Unique Number,Medium,53.8
2020-04-29,binary-tree-maximum-path-sum,124,Binary Tree Maximum Path Sum,Hard,40.2
2020-04-30,check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree,1430,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,Medium,46.9
2020-05-01,first-bad-version,278,First Bad Version,Easy,44.6
2020-05-02,jewels-and-stones,771,Jewels and Stones,Easy,88.7
2020-05-03,ransom-note,383,Ransom Note,Easy,61.9
2020-05-04,number-complement,476,Number Complement,Easy,67.7
2020-05-05,first-unique-character-in-a-string,387,First Unique Character in a String,Easy,62.3
2020-05-06,majority-element,169,Majority Element,Easy,65.0
2020-05-07,cousins-in-binary-tree,993,Cousins in Binary Tree,Easy,56.3
2020-05-08,check-if-it-is-a-straight-line,1232,Check If It Is a Straight Line,Easy,39.5
2020-05-09,valid-perfect-square,367,Valid Perfect Square,Easy,43.8
2020-05-10,find-the-town-judge,997,Find the Town Judge,Easy,49.8
2020-05-11,flood-fill,733,Flood Fill,Easy,64.3
2020-05-12,single-element-in-a-sorted-array,540,Single Element in a Sorted Array,Medium,59.2
2020-05-13,remove-k-digits,402,Remove K Digits,Medium,33.7
2020-05-14,implement-trie-prefix-tree,208,Implement Trie (Prefix Tree),Medium,65.7
2020-05-15,maximum-sum-circular-subarray,918,Maximum Sum Circular Subarray,Medium,45.2
2020-05-16,odd-even-linked-list,328,Odd Even Linked List,Medium,61.5
2020-05-17,find-all-anagrams-in-a-string,438,Find All Anagrams in a String,Medium,51.1
2020-05-18,permutation-in-string,567,Permutation in String,Medium,44.5
2020-05-19,online-stock-span,901,Online Stock Span,Medium,66.1
2020-05-20,kth-smallest-element-in-a-bst,230,Kth Smallest Element in a BST,Medium,73.0
2020-05-21,count-square-submatrices-with-all-ones,1277,Count Square Submatrices with All Ones,Medium,75.3
2020-05-22,sort-characters-by-frequency,451,Sort Characters By Frequency,Medium,72.7
2020-05-23,interval-list-intersections,986,Interval List Intersections,Medium,71.8
2020-05-24,construct-binary-search-tree-from-preorder-traversal,1008,Construct Binary Search Tree from Preorder Traversal,Medium,82.2
2020-05-25,uncrossed-lines,1035,Uncrossed Lines,Medium,63.2
2020-05-26,contiguous-array,525,Contiguous Array,Medium,49.0
2020-05-27,possible-bipartition,886,Possible Bipartition,Medium,50.7
2020-05-28,counting-bits,338,Counting Bits,Easy,78.5
2020-05-29,course-schedule,207,Course Schedule,Medium,47.1
2020-05-30,k-closest-points-to-origin,973,K Closest Points to Origin,Medium,66.6
2020-05-31,edit-distance,72,Edit Distance,Medium,56.9
2020-06-01,invert-binary-tree,226,Invert Binary Tree,Easy,77.4
2020-06-02,delete-node-in-a-linked-list,237,Delete Node in a Linked List,Medium,80.2
2020-06-03,two-city-scheduling,1029,Two City Scheduling,Medium,66.8
2020-06-04,reverse-string,344,Reverse String,Easy,78.8
2020-06-05,random-pick-with-weight,528,Random Pick with Weight,Medium,47.0
2020-06-06,queue-reconstruction-by-height,406,Queue Reconstruction by Height,Medium,73.6
2020-06-07,coin-change-ii,518,Coin Change II,Medium,64.3
2020-06-08,power-of-two,231,Power of Two,Easy,47.8
2020-06-09,is-subsequence,392,Is Subsequence,Easy,48.1
2020-06-10,search-insert-position,35,Search Insert Position,Easy,46.5
2020-06-11,sort-colors,75,Sort Colors,Medium,64.1
2020-06-12,insert-delete-getrandom-o1,380,Insert Delete GetRandom O(1),Medium,54.5
2020-06-13,largest-divisible-subset,368,Largest Divisible Subset,Medium,45.5
2020-06-14,cheapest-flights-within-k-stops,787,Cheapest Flights Within K Stops,Medium,39.4
2020-06-15,search-in-a-binary-search-tree,700,Search in a Binary Search Tree,Easy,80.1
2020-06-16,validate-ip-address,468,Validate IP Address,Medium,27.2
2020-06-17,surrounded-regions,130,Surrounded Regions,Medium,40.1
2020-06-18,h-index-ii,275,H-Index II,Medium,38.3
2020-06-19,longest-duplicate-substring,1044,Longest Duplicate Substring,Hard,30.6
2020-06-20,permutation-sequence,60,Permutation Sequence,Hard,47.6
2020-06-21,dungeon-game,174,Dungeon Game,Hard,38.3
2020-06-22,single-number-ii,137,Single Number II,Medium,63.2
2020-06-23,count-complete-tree-nodes,222,Count Complete Tree Nodes,Easy,66.2
2020-06-24,unique-binary-search-trees,96,Unique Binary Search Trees,Medium,61.3
2020-06-25,find-the-duplicate-number,287,Find the Duplicate Number,Medium,61.1
2020-06-26,sum-root-to-leaf-numbers,129,Sum Root to Leaf Numbers,Medium,66.2
2020-06-27,perfect-squares,279,Perfect Squares,Medium,54.9
2020-06-28,reconstruct-itinerary,332,Reconstruct Itinerary,Hard,43.3
2020-06-29,unique-paths,62,Unique Paths,Medium,64.5
2020-06-30,word-search-ii,212,Word Search II,Hard,36.4
2020-07-01,climbing-stairs,70,Climbing Stairs,Easy,53.0
2020-07-02,arranging-coins,441,Arranging Coins,Easy,46.7
2020-07-03,binary-tree-level-order-traversal-ii,107,Binary Tree Level Order Traversal II,Medium,63.8
2020-07-04,prison-cells-after-n-days,957,Prison Cells After N Days,Medium,39.0
2020-07-05,ugly-number-ii,264,Ugly Number II,Medium,46.3
2020-07-06,hamming-distance,461,Hamming Distance,Easy,75.5
2020-07-07,plus-one,66,Plus One,Easy,45.7
2020-07-08,island-perimeter,463,Island Perimeter,Easy,72.9
2020-07-09,3sum,15,3Sum,Medium,34.9
2020-07-10,maximum-width-of-binary-tree,662,Maximum Width of Binary Tree,Medium,43.0
2020-07-11,flatten-a-multilevel-doubly-linked-list,430,Flatten a Multilevel Doubly Linked List,Medium,60.2
2020-07-12,subsets,78,Subsets,Medium,78.7
2020-07-13,reverse-bits,190,Reverse Bits,Easy,59.3
2020-07-14,same-tree,100,Same Tree,Easy,62.7
2020-07-15,angle-between-hands-of-a-clock,1344,Angle Between Hands of a Clock,Medium,63.8
2020-07-16,reverse-words-in-a-string,151,Reverse Words in a String,Medium,44.1
2020-07-17,powx-n,50,"Pow(x, n)",Medium,35.1
2020-07-18,top-k-frequent-elements,347,Top K Frequent Elements,Medium,63.0
2020-07-19,course-schedule-ii,210,Course Schedule II,Medium,50.9
2020-07-20,add-binary,67,Add Binary,Easy,53.9
2020-07-21,remove-linked-list-elements,203,Remove Linked List Elements,Easy,49.3
2020-07-22,word-search,79,Word Search,Medium,43.1
2020-07-23,binary-tree-zigzag-level-order-traversal,103,Binary Tree Zigzag Level Order Traversal,Medium,59.4
2020-07-24,single-number-iii,260,Single Number III,Medium,70.8
2020-07-25,all-paths-from-source-to-target,797,All Paths From Source to Target,Medium,82.5
2020-07-26,find-minimum-in-rotated-sorted-array-ii,154,Find Minimum in Rotated Sorted Array II,Hard,43.7
2020-07-27,add-digits,258,Add Digits,Easy,66.8
2020-07-28,construct-binary-tree-from-inorder-and-postorder-traversal,106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,63.5
2020-07-29,task-scheduler,621,Task Scheduler,Medium,60.1
2020-07-30,best-time-to-buy-and-sell-stock-with-cooldown,309,Best Time to Buy and Sell Stock with Cooldown,Medium,58.6
2020-07-31,word-break-ii,140,Word Break II,Hard,51.2
2020-08-01,detect-capital,520,Detect Capital,Easy,56.4
2020-08-02,design-hashset,705,Design HashSet,Easy,67.1
2020-08-03,valid-palindrome,125,Valid Palindrome,Easy,48.0
2020-08-04,power-of-four,342,Power of Four,Easy,48.2
2020-08-05,design-add-and-search-words-data-structure,211,Design Add and Search Words Data Structure,Medium,45.6
2020-08-06,find-all-duplicates-in-an-array,442,Find All Duplicates in an Array,Medium,75.8
2020-08-07,vertical-order-traversal-of-a-binary-tree,987,Vertical Order Traversal of a Binary Tree,Hard,48.1
2020-08-08,path-sum-iii,437,Path Sum III,Medium,46.2
2020-08-09,rotting-oranges,994,Rotting Oranges,Medium,54.4
2020-08-10,excel-sheet-column-number,171,Excel Sheet Column Number,Easy,64.1
2020-08-11,h-index,274,H-Index,Medium,39.1
2020-08-12,pascals-triangle-ii,119,Pascal's Triangle II,Easy,64.3
2020-08-13,iterator-for-combination,1286,Iterator for Combination,Medium,73.3
2020-08-14,longest-palindrome,409,Longest Palindrome,Easy,55.3
2020-08-15,non-overlapping-intervals,435,Non-overlapping Intervals,Medium,53.6
2020-08-16,best-time-to-buy-and-sell-stock-iii,123,Best Time to Buy and Sell Stock III,Hard,48.5
2020-08-17,distribute-candies-to-people,1103,Distribute Candies to People,Easy,65.3
2020-08-18,numbers-with-same-consecutive-differences,967,Numbers With Same Consecutive Differences,Medium,58.1
2020-08-19,goat-latin,824,Goat Latin,Easy,68.4
2020-08-20,reorder-list,143,Reorder List,Medium,59.3
2020-08-21,sort-array-by-parity,905,Sort Array By Parity,Easy,76.2
2020-08-22,random-point-in-non-overlapping-rectangles,497,Random Point in Non-overlapping Rectangles,Medium,40.1
2020-08-23,stream-of-characters,1032,Stream of Characters,Hard,52.1
2020-08-24,sum-of-left-leaves,404,Sum of Left Leaves,Easy,60.7
2020-08-25,minimum-cost-for-tickets,983,Minimum Cost For Tickets,Medium,65.2
2020-08-26,fizz-buzz,412,Fizz Buzz,Easy,72.5
2020-08-27,find-right-interval,436,Find Right Interval,Medium,52.4
2020-08-28,implement-rand10-using-rand7,470,Implement Rand10() Using Rand7(),Medium,45.9
2020-08-29,pancake-sorting,969,Pancake Sorting,Medium,70.8
2020-08-30,largest-component-size-by-common-factor,952,Largest Component Size by Common Factor,Hard,40.8
2020-08-31,delete-node-in-a-bst,450,Delete Node in a BST,Medium,51.6
2020-09-01,largest-time-for-given-digits,949,Largest Time for Given Digits,Medium,35.3
2020-09-02,contains-duplicate-iii,220,Contains Duplicate III,Hard,22.9
2020-09-03,repeated-substring-pattern,459,Repeated Substring Pattern,Easy,46.1
2020-09-04,partition-labels,763,Partition Labels,Medium,79.9
2020-09-05,all-elements-in-two-binary-search-trees,1305,All Elements in Two Binary Search Trees,Medium,79.8
2020-09-06,image-overlap,835,Image Overlap,Medium,63.7
2020-09-07,word-pattern,290,Word Pattern,Easy,42.2
2020-09-08,sum-of-root-to-leaf-binary-numbers,1022,Sum of Root To Leaf Binary Numbers,Easy,73.1
2020-09-09,compare-version-numbers,165,Compare Version Numbers,Medium,41.0
2020-09-10,bulls-and-cows,299,Bulls and Cows,Medium,50.4
2020-09-11,maximum-product-subarray,152,Maximum Product Subarray,Medium,34.5
2020-09-12,combination-sum-iii,216,Combination Sum III,Medium,70.1
2020-09-13,insert-interval,57,Insert Interval,Medium,41.8
2020-09-14,house-robber,198,House Robber,Medium,51.2
2020-09-15,length-of-last-word,58,Length of Last Word,Easy,52.6
2020-09-16,maximum-xor-of-two-numbers-in-an-array,421,Maximum XOR of Two Numbers in an Array,Medium,53.3
2020-09-17,robot-bounded-in-circle,1041,Robot Bounded In Circle,Medium,55.8
2020-09-18,best-time-to-buy-and-sell-stock,121,Best Time to Buy and Sell Stock,Easy,53.9
2020-09-19,sequential-digits,1291,Sequential Digits,Medium,65.3
2020-09-20,unique-paths-iii,980,Unique Paths III,Hard,81.9
2020-09-21,car-pooling,1094,Car Pooling,Medium,56.0
2020-09-22,majority-element-ii,229,Majority Element II,Medium,52.0
2020-09-23,gas-station,134,Gas Station,Medium,45.5
2020-09-24,find-the-difference,389,Find the Difference,Easy,59.6
2020-09-25,largest-number,179,Largest Number,Medium,36.5
2020-09-26,teemo-attacking,495,Teemo Attacking,Easy,56.6
2020-09-27,evaluate-division,399,Evaluate Division,Medium,61.9
2020-09-28,subarray-product-less-than-k,713,Subarray Product Less Than K,Medium,51.6
2020-09-29,word-break,139,Word Break,Medium,47.0
2020-09-30,first-missing-positive,41,First Missing Positive,Hard,39.7
2020-10-01,number-of-recent-calls,933,Number of Recent Calls,Easy,75.6
2020-10-02,combination-sum,39,Combination Sum,Medium,72.0
2020-10-03,k-diff-pairs-in-an-array,532,K-diff Pairs in an Array,Medium,43.1
2020-10-04,remove-covered-intervals,1288,Remove Covered Intervals,Medium,56.3
2020-10-05,complement-of-base-10-integer,1009,Complement of Base 10 Integer,Easy,60.8
2020-10-06,insert-into-a-binary-search-tree,701,Insert into a Binary Search Tree,Medium,73.7
2020-10-07,rotate-list,61,Rotate List,Medium,38.2
2020-10-08,binary-search,704,Binary Search,Easy,57.9
2020-10-09,serialize-and-deserialize-bst,449,Serialize and Deserialize BST,Medium,57.8
2020-10-10,minimum-number-of-arrows-to-burst-balloons,452,Minimum Number of Arrows to Burst Balloons,Medium,59.1
2020-10-11,remove-duplicate-letters,316,Remove Duplicate Letters,Medium,49.9
2020-10-12,buddy-strings,859,Buddy Strings,Easy,33.1
2020-10-13,sort-list,148,Sort List,Medium,58.6
2020-10-14,house-robber-ii,213,House Robber II,Medium,42.2
2020-10-15,rotate-array,189,Rotate Array,Medium,41.0
2020-10-16,search-a-2d-matrix,74,Search a 2D Matrix,Medium,50.5
2020-10-17,repeated-dna-sequences,187,Repeated DNA Sequences,Medium,49.2
2020-10-18,best-time-to-buy-and-sell-stock-iv,188,Best Time to Buy and Sell Stock IV,Hard,43.6
2020-10-19,minimum-domino-rotations-for-equal-row,1007,Minimum Domino Rotations For Equal Row,Medium,52.2
2020-10-20,clone-graph,133,Clone Graph,Medium,58.1
2020-10-21,asteroid-collision,735,Asteroid Collision,Medium,44.5
2020-10-22,minimum-depth-of-binary-tree,111,Minimum Depth of Binary Tree,Easy,48.5
2020-10-23,132-pattern,456,132 Pattern,Medium,33.8
2020-10-24,bag-of-tokens,948,Bag of Tokens,Medium,59.0
2020-10-25,stone-game-iv,1510,Stone Game IV,Hard,59.8
2020-10-26,champagne-tower,799,Champagne Tower,Medium,58.2
2020-10-27,linked-list-cycle-ii,142,Linked List Cycle II,Medium,51.9
2020-10-28,summary-ranges,228,Summary Ranges,Easy,51.0
2020-10-29,maximize-distance-to-closest-person,849,Maximize Distance to Closest Person,Medium,48.2
2020-10-30,number-of-longest-increasing-subsequence,673,Number of Longest Increasing Subsequence,Medium,48.3
2020-10-31,recover-binary-search-tree,99,Recover Binary Search Tree,Medium,53.6
2020-11-01,convert-binary-number-in-a-linked-list-to-integer,1290,Convert Binary Number in a Linked List to Integer,Easy,81.1
2020-11-02,insertion-sort-list,147,Insertion Sort List,Medium,54.1
2020-11-03,consecutive-characters,1446,Consecutive Characters,Easy,60.4
2020-11-04,minimum-height-trees,310,Minimum Height Trees,Medium,41.8
2020-11-05,minimum-cost-to-move-chips-to-the-same-position,1217,Minimum Cost to Move Chips to The Same Position,Easy,71.7
2020-11-06,find-the-smallest-divisor-given-a-threshold,1283,Find the Smallest Divisor Given a Threshold,Medium,60.5
2020-11-07,add-two-numbers-ii,445,Add Two Numbers II,Medium,61.2
2020-11-08,binary-tree-tilt,563,Binary Tree Tilt,Easy,62.1
2020-11-09,maximum-difference-between-node-and-ancestor,1026,Maximum Difference Between Node and Ancestor,Medium,78.1
2020-11-10,flipping-an-image,832,Flipping an Image,Easy,82.1
2020-11-11,valid-square,593,Valid Square,Medium,44.1
2020-11-12,permutations-ii,47,Permutations II,Medium,59.6
2020-11-13,populating-next-right-pointers-in-each-node,116,Populating Next Right Pointers in Each Node,Medium,63.2
2020-11-14,poor-pigs,458,Poor Pigs,Hard,59.6
2020-11-15,range-sum-of-bst,938,Range Sum of BST,Easy,86.9
2020-11-16,longest-mountain-in-array,845,Longest Mountain in Array,Medium,40.5
2020-11-17,mirror-reflection,858,Mirror Reflection,Medium,62.5
2020-11-18,merge-intervals,56,Merge Intervals,Medium,47.6
2020-11-19,decode-string,394,Decode String,Medium,59.4
2020-11-20,search-in-rotated-sorted-array-ii,81,Search in Rotated Sorted Array II,Medium,37.9
2020-11-21,numbers-at-most-n-given-digit-set,902,Numbers At Most N Given Digit Set,Hard,42.5
2020-11-22,unique-morse-code-words,804,Unique Morse Code Words,Easy,82.9
2020-11-23,house-robber-iii,337,House Robber III,Medium,54.3
2020-11-24,basic-calculator-ii,227,Basic Calculator II,Medium,43.9
